Order ID,Order Date,Customer ID,Customer Name,Region,City,Age,Gender,Product ID,Product Name,Category,Quantity,Unit Price,Discount,Revenue,Profit,Payment Mode,Delivery Days
TXN-000001,2025-09-06,CUST-0340,Betty Brown,Central,Nagpur,69,Male,PROD-0036,Self-Help Guide,Books,3,10.26,0.0,30.78,3.08,Unknown,
TXN-000002,2025-04-08,CUST-0485,Ashley Harris,North,Amritsar,20,Male,PROD-0046,Basketball,Sports,2,39.63,0.0,79.26,7.93,Unknown,
TXN-000003,2024-08-15,CUST-0117,Mary Kulkarni,West,Ahmedabad,39,Female,PROD-0007,Keyboard Mechanical,Electronics,3,97.82,0.0,293.46,29.35,Unknown,
TXN-000004,2025-10-10,CUST-0003,Arjun Verma,North,Chandigarh,32,Other,PROD-0022,Blender,Home & Kitchen,1,46.5,0.0,46.5,4.65,Unknown,
TXN-000005,2025-12-19,CUST-0299,David Harris,East,Bhubaneswar,60,Other,PROD-0036,Self-Help Guide,Books,2,10.26,0.0,20.52,2.05,Unknown,
TXN-000006,2025-05-19,CUST-0109,Vikram Miller,West,Goa,62,Male,PROD-0003,Usb-C Hub,Electronics,4,61.28,0.0,245.12,24.51,Unknown,
TXN-000007,2025-02-23,CUST-0144,Donald King,South,Chennai,31,Other,PROD-0046,Basketball,Sports,3,39.63,0.0,118.89,11.89,Unknown,
TXN-000008,2024-07-11,CUST-0110,Sophia Jones,West,Mumbai,40,Female,PROD-0017,Casual Shorts,Clothing,2,29.07,0.0,58.14,5.81,Unknown,
TXN-000009,2024-07-14,CUST-0124,Aanya Wright,South,Hyderabad,24,Other,PROD-0026,Water Bottle,Home & Kitchen,1,17.56,0.0,17.56,1.76,Unknown,
TXN-000010,2025-02-28,CUST-0734,Lucas Rodriguez,South,Kochi,55,Other,PROD-0022,Blender,Home & Kitchen,1,46.5,0.0,46.5,4.65,Unknown,
TXN-000011,2025-08-25,CUST-0048,Ashley Sharma,North,Chandigarh,28,Female,PROD-0041,Yoga Mat,Sports,3,42.7,0.0,128.1,12.81,Unknown,
TXN-000012,2025-04-13,CUST-0127,Nikhil Lewis,Central,Bhopal,68,Other,PROD-0050,Gym Bag,Sports,4,52.65,0.0,210.6,21.06,Unknown,
TXN-000013,2024-05-17,CUST-0675,Priya Smith,North,Delhi,27,Other,PROD-0038,History Of Ai,Books,5,15.71,0.0,78.55,7.86,Unknown,
TXN-000014,2024-02-19,CUST-0511,David Walker,South,Kochi,38,Female,PROD-0001,Wireless Mouse,Electronics,2,45.68,0.0,91.36,9.14,Unknown,
TXN-000015,2025-05-09,CUST-0567,Oliver Thomas,North,Amritsar,25,Female,PROD-0028,Cutting Board,Home & Kitchen,3,11.96,0.0,35.88,3.59,Unknown,
TXN-000016,2024-06-30,CUST-0521,Michael Menon,South,Kochi,56,Other,PROD-0050,Gym Bag,Sports,4,52.65,0.0,210.6,21.06,Unknown,
TXN-000017,2024-05-11,CUST-0709,Jessica Moore,West,Goa,33,Female,PROD-0038,History Of Ai,Books,1,15.71,0.0,15.71,1.57,Unknown,
TXN-000018,2025-09-12,CUST-0107,Meena Jones,South,Chennai,22,Female,PROD-0025,Knife Set,Home & Kitchen,2,68.52,0.0,137.04,13.7,Unknown,
TXN-000019,2025-03-04,CUST-0330,Aditya Williams,North,Jaipur,33,Other,PROD-0033,Machine Learning Guide,Books,4,42.63,0.0,170.52,17.05,Unknown,
TXN-000020,2024-10-07,CUST-0624,Aarav Gupta,North,Chandigarh,20,Female,PROD-0045,Football,Sports,3,29.05,0.0,87.15,8.72,Unknown,
TXN-000021,2025-04-08,CUST-0408,Priya Martinez,Central,Nagpur,52,Female,PROD-0022,Blender,Home & Kitchen,5,46.5,0.0,232.5,23.25,Unknown,
TXN-000022,2025-12-17,CUST-0137,Mark Desai,North,Chandigarh,64,Female,PROD-0009,Laptop Stand,Electronics,2,59.55,0.0,119.1,11.91,Unknown,
TXN-000023,2025-12-19,CUST-0767,Sandra Desai,North,Delhi,58,Other,PROD-0033,Machine Learning Guide,Books,1,42.63,0.0,42.63,4.26,Unknown,
TXN-000024,2025-07-20,CUST-0561,Charlotte Singh,East,Kolkata,49,Male,PROD-0021,Coffee Maker,Home & Kitchen,3,62.05,0.0,186.15,18.62,Unknown,
TXN-000025,2025-10-01,CUST-0648,Riya Patel,South,Hyderabad,43,Other,PROD-0014,Running Shoes,Clothing,1,41.04,0.0,41.04,4.1,Unknown,
TXN-000026,2025-11-19,CUST-0732,Pooja Bhat,East,Guwahati,50,Female,PROD-0019,Cap,Clothing,2,12.46,0.0,24.92,2.49,Unknown,
TXN-000027,2024-07-01,CUST-0136,Patricia Bhat,Central,Nagpur,53,Male,PROD-0046,Basketball,Sports,2,39.63,0.0,79.26,7.93,Unknown,
TXN-000028,2024-11-26,CUST-0516,Lucas Smith,West,Mumbai,36,Female,PROD-0035,Business Strategy,Books,2,33.11,0.0,66.22,6.62,Unknown,
TXN-000029,2025-07-29,CUST-0728,Mark Brown,North,Amritsar,68,Male,PROD-0008,Monitor Stand,Electronics,3,53.18,0.0,159.54,15.95,Unknown,
TXN-000030,2025-11-14,CUST-0492,Sarah Shah,North,Delhi,51,Male,PROD-0038,History Of Ai,Books,2,15.71,0.0,31.42,3.14,Unknown,
TXN-000031,2025-06-30,CUST-0728,Mark Brown,North,Amritsar,68,Male,PROD-0027,Storage Containers,Home & Kitchen,2,35.05,0.0,70.1,7.01,Unknown,
TXN-000032,2025-06-19,CUST-0293,Mason Mehta,East,Patna,36,Female,PROD-0028,Cutting Board,Home & Kitchen,3,11.96,0.0,35.88,3.59,Unknown,
TXN-000033,2024-02-24,CUST-0110,Sophia Jones,West,Mumbai,40,Female,PROD-0002,Bluetooth Headphones,Electronics,1,92.28,0.0,92.28,9.23,Unknown,
TXN-000034,2024-06-13,CUST-0687,Nisha Kulkarni,South,Bangalore,40,Female,PROD-0004,Portable Charger,Electronics,1,42.05,0.0,42.05,4.21,Unknown,
TXN-000035,2024-03-04,CUST-0294,Richard Wright,East,Ranchi,21,Other,PROD-0044,Jump Rope,Sports,1,18.67,0.0,18.67,1.87,Unknown,
TXN-000036,2025-07-08,CUST-0708,Meena Martin,North,Lucknow,70,Other,PROD-0019,Cap,Clothing,1,12.46,0.0,12.46,1.25,Unknown,
TXN-000037,2024-04-14,CUST-0034,Sandra White,West,Pune,52,Other,PROD-0023,Toaster,Home & Kitchen,3,31.12,0.0,93.36,9.34,Unknown,
TXN-000038,2024-08-17,CUST-0631,Pooja Chopra,Central,Nagpur,65,Other,PROD-0044,Jump Rope,Sports,3,18.67,0.0,56.01,5.6,Unknown,
TXN-000039,2024-08-31,CUST-0761,James Walker,South,Bangalore,49,Female,PROD-0042,Dumbbells (Pair),Sports,2,77.78,0.0,155.56,15.56,Unknown,
TXN-000040,2025-11-11,CUST-0524,Thomas Johnson,West,Goa,26,Female,PROD-0045,Football,Sports,1,29.05,0.0,29.05,2.91,Unknown,
TXN-000041,2025-12-02,CUST-0049,Matthew Anderson,South,Kochi,21,Male,PROD-0025,Knife Set,Home & Kitchen,1,68.52,0.0,68.52,6.85,Unknown,
TXN-000042,2024-09-14,CUST-0321,Sandra Davis,North,Jaipur,33,Female,PROD-0036,Self-Help Guide,Books,1,10.26,0.0,10.26,1.03,Unknown,
TXN-000043,2025-03-29,CUST-0208,Swati Verma,West,Ahmedabad,18,Other,PROD-0040,Travel Guide,Books,4,22.38,0.0,89.52,8.95,Unknown,
TXN-000044,2025-10-25,CUST-0231,Oliver Kulkarni,Central,Indore,70,Male,PROD-0041,Yoga Mat,Sports,3,42.7,0.0,128.1,12.81,Unknown,
TXN-000045,2025-09-09,CUST-0377,Vikram Johnson,Central,Indore,38,Other,PROD-0049,Cycling Gloves,Sports,2,31.15,0.0,62.3,6.23,Unknown,
TXN-000046,2024-07-17,CUST-0202,Betty Thompson,South,Chennai,47,Other,PROD-0050,Gym Bag,Sports,3,52.65,0.0,157.95,15.8,Unknown,
TXN-000047,2025-11-30,CUST-0302,Rohit Rao,South,Chennai,22,Female,PROD-0029,Dish Rack,Home & Kitchen,1,28.32,0.0,28.32,2.83,Unknown,
TXN-000048,2025-06-10,CUST-0077,Sunita Bhat,South,Bangalore,42,Male,PROD-0012,Denim Jeans,Clothing,5,82.97,0.0,414.85,41.49,Unknown,
TXN-000049,2024-10-12,CUST-0123,Linda Mehta,Central,Jabalpur,65,Other,PROD-0025,Knife Set,Home & Kitchen,1,68.52,0.0,68.52,6.85,Unknown,
TXN-000050,2025-08-21,CUST-0570,Sunita Malhotra,North,Lucknow,34,Female,PROD-0017,Casual Shorts,Clothing,1,29.07,0.0,29.07,2.91,Unknown,
TXN-000051,2025-12-27,CUST-0262,Lucas Patel,North,Chandigarh,28,Other,PROD-0001,Wireless Mouse,Electronics,1,45.68,0.0,45.68,4.57,Unknown,
TXN-000052,2024-11-26,CUST-0159,Lucas Anderson,East,Kolkata,32,Female,PROD-0003,Usb-C Hub,Electronics,1,61.28,0.0,61.28,6.13,Unknown,
TXN-000053,2025-10-02,CUST-0612,Divya Patel,East,Kolkata,50,Male,PROD-0004,Portable Charger,Electronics,3,42.05,0.0,126.15,12.62,Unknown,
TXN-000054,2025-08-09,CUST-0631,Pooja Chopra,Central,Nagpur,65,Other,PROD-0043,Resistance Bands,Sports,1,22.74,0.0,22.74,2.27,Unknown,
TXN-000055,2025-12-25,CUST-0564,Matthew Mehta,North,Amritsar,19,Male,PROD-0023,Toaster,Home & Kitchen,1,31.12,0.0,31.12,3.11,Unknown,
TXN-000056,2024-07-07,CUST-0326,Deepak Jackson,West,Pune,60,Other,PROD-0034,Web Development,Books,1,44.41,0.0,44.41,4.44,Unknown,
TXN-000057,2024-06-12,CUST-0534,Donald White,North,Delhi,67,Male,PROD-0005,Smartwatch,Electronics,3,158.2,0.0,474.6,47.46,Unknown,
TXN-000058,2024-04-04,CUST-0426,Ashley Hernandez,West,Pune,50,Female,PROD-0035,Business Strategy,Books,2,33.11,0.0,66.22,6.62,Unknown,
TXN-000059,2025-11-10,CUST-0358,Swati Malhotra,South,Chennai,68,Female,PROD-0015,Formal Shirt,Clothing,4,57.36,0.0,229.44,22.94,Unknown,
TXN-000060,2024-08-11,CUST-0340,Betty Brown,Central,Nagpur,69,Male,PROD-0022,Blender,Home & Kitchen,1,46.5,0.0,46.5,4.65,Unknown,
TXN-000061,2025-07-28,CUST-0771,Lucas Hernandez,East,Guwahati,61,Male,PROD-0040,Travel Guide,Books,2,22.38,0.0,44.76,4.48,Unknown,
TXN-000062,2025-11-15,CUST-0771,Lucas Hernandez,East,Guwahati,61,Male,PROD-0042,Dumbbells (Pair),Sports,1,77.78,0.0,77.78,7.78,Unknown,
TXN-000063,2025-10-19,CUST-0355,Karan Robinson,West,Pune,25,Male,PROD-0029,Dish Rack,Home & Kitchen,1,28.32,0.0,28.32,2.83,Unknown,
TXN-000064,2024-02-10,CUST-0629,Sai Garcia,North,Lucknow,36,Female,PROD-0040,Travel Guide,Books,1,22.38,0.0,22.38,2.24,Unknown,
TXN-000065,2024-04-26,CUST-0699,Oliver Taylor,South,Bangalore,41,Male,PROD-0021,Coffee Maker,Home & Kitchen,1,62.05,0.0,62.05,6.21,Unknown,
TXN-000066,2024-10-16,CUST-0396,James Mehta,West,Goa,65,Female,PROD-0017,Casual Shorts,Clothing,2,29.07,0.0,58.14,5.81,Unknown,
TXN-000067,2025-01-18,CUST-0026,Patricia Reddy,East,Guwahati,28,Female,PROD-0034,Web Development,Books,3,44.41,0.0,133.23,13.32,Unknown,
TXN-000068,2024-02-14,CUST-0527,Mary Jones,East,Guwahati,41,Male,PROD-0033,Machine Learning Guide,Books,2,42.63,0.0,85.26,8.53,Unknown,
TXN-000069,2025-06-10,CUST-0304,Patricia Wright,Central,Indore,56,Female,PROD-0042,Dumbbells (Pair),Sports,1,77.78,0.0,77.78,7.78,Unknown,
TXN-000070,2025-07-04,CUST-0085,Sai Walker,West,Mumbai,51,Other,PROD-0007,Keyboard Mechanical,Electronics,1,97.82,0.0,97.82,9.78,Unknown,
TXN-000071,2024-08-03,CUST-0547,Meena Garcia,South,Chennai,58,Other,PROD-0001,Wireless Mouse,Electronics,2,45.68,0.0,91.36,9.14,Unknown,
TXN-000072,2025-12-02,CUST-0687,Nisha Kulkarni,South,Bangalore,40,Female,PROD-0041,Yoga Mat,Sports,3,42.7,0.0,128.1,12.81,Unknown,
TXN-000073,2025-12-20,CUST-0435,Lisa Malhotra,South,Kochi,61,Other,PROD-0007,Keyboard Mechanical,Electronics,1,97.82,0.0,97.82,9.78,Unknown,
TXN-000074,2024-03-14,CUST-0760,Pooja Johnson,West,Goa,47,Male,PROD-0050,Gym Bag,Sports,2,52.65,0.0,105.3,10.53,Unknown,
TXN-000075,2025-04-15,CUST-0765,Joseph Garcia,West,Surat,42,Male,PROD-0044,Jump Rope,Sports,1,18.67,0.0,18.67,1.87,Unknown,
TXN-000076,2024-03-16,CUST-0735,Robert Williams,South,Hyderabad,65,Other,PROD-0022,Blender,Home & Kitchen,1,46.5,0.0,46.5,4.65,Unknown,
TXN-000077,2025-07-25,CUST-0056,Deepak Garcia,North,Amritsar,33,Other,PROD-0012,Denim Jeans,Clothing,3,82.97,0.0,248.91,24.89,Unknown,
TXN-000078,2024-09-21,CUST-0073,Sarah Nair,North,Jaipur,41,Male,PROD-0037,Fiction Novel,Books,3,12.83,0.0,38.49,3.85,Unknown,
TXN-000079,2025-02-18,CUST-0418,Suresh Lee,South,Bangalore,24,Female,PROD-0025,Knife Set,Home & Kitchen,2,68.52,0.0,137.04,13.7,Unknown,
TXN-000080,2025-11-20,CUST-0444,Margaret Rodriguez,North,Lucknow,26,Other,PROD-0021,Coffee Maker,Home & Kitchen,1,62.05,0.0,62.05,6.21,Unknown,
TXN-000081,2025-09-25,CUST-0122,Aanya Jackson,South,Kochi,62,Female,PROD-0035,Business Strategy,Books,1,33.11,0.0,33.11,3.31,Unknown,
TXN-000082,2024-02-16,CUST-0065,Nikhil Clark,North,Chandigarh,34,Male,PROD-0049,Cycling Gloves,Sports,3,31.15,0.0,93.45,9.34,Unknown,
TXN-000083,2025-05-29,CUST-0718,Neha Iyer,Central,Jabalpur,55,Male,PROD-0005,Smartwatch,Electronics,1,158.2,0.0,158.2,15.82,Unknown,
TXN-000084,2024-11-04,CUST-0109,Vikram Miller,West,Goa,62,Male,PROD-0019,Cap,Clothing,3,12.46,0.0,37.38,3.74,Unknown,
TXN-000085,2025-03-24,CUST-0622,Betty Jackson,South,Hyderabad,28,Female,PROD-0006,Webcam Hd,Electronics,1,72.22,0.0,72.22,7.22,Unknown,
TXN-000086,2024-02-01,CUST-0391,Mason Reddy,South,Bangalore,43,Female,PROD-0026,Water Bottle,Home & Kitchen,3,17.56,0.0,52.68,5.27,Unknown,
TXN-000087,2024-05-19,CUST-0486,Reyansh King,North,Lucknow,26,Other,PROD-0011,Cotton T-Shirt,Clothing,2,30.65,0.0,61.3,6.13,Unknown,
