Order ID,Cust Name,Cust ID,Customer Email,Customer Age,Customer Gender,Customer Region,Customer City,Product Name,Product ID,Product Category,Unit Price,Quantity,Discount (%),Total Amount,Payment Method,Order Status,Order Date,Delivery Days,Rating
ORD-000001,Karen Rao,CUST-0308,karen.rao308@example.com,37,Female,Central,Indore,Smartwatch,PROD-0005,Electronics,158.2,1,5,150.29,Net Banking,Completed,2024-08-17,7,5
ORD-000002,Deepak Taylor,CUST-0360,deepak.taylor360@example.com,53,Other,North,Jaipur,Formal Shirt,PROD-0015,Clothing,57.36,4,10,206.5,Net Banking,Completed,2025-07-23,6,4
ORD-000003,Linda Iyer,CUST-0248,linda.iyer248@example.com,23,Male,West,Mumbai,Webcam HD,PROD-0006,Electronics,72.22,2,0,144.44,Cash on Delivery,Pending,2024-01-28,,
ORD-000004,Manoj Martin,CUST-0416,manoj.martin416@example.com,24,Other,East,Bhubaneswar,Dumbbells (Pair),PROD-0042,Sports,77.78,1,5,73.89,Credit Card,Completed,2024-04-06,6,3
ORD-000005,Noah Malhotra,CUST-0398,noah.malhotra398@example.com,41,Female,West,Mumbai,Cap,PROD-0019,Clothing,12.46,1,0,12.46,Net Banking,Pending,2024-10-24,,
ORD-000006,Oliver Smith,CUST-0476,oliver.smith476@example.com,47,Other,East,Guwahati,Cookbook,PROD-0039,Books,22.32,1,10,20.09,Cash on Delivery,Returned,2025-10-12,,
ORD-000007,Ishaan Rodriguez,CUST-0532,ishaan.rodriguez532@example.com,55,Female,Central,Raipur,History of AI,PROD-0038,Books,15.71,1,0,15.71,Debit Card,Completed,2024-03-12,1,
ORD-000008,Manoj Martin,CUST-0416,manoj.martin416@example.com,24,Other,East,Bhubaneswar,Keyboard Mechanical,PROD-0007,Electronics,97.82,1,0,97.82,Net Banking,Cancelled,2025-04-11,,
ORD-000009,Ashley Miller,CUST-0005,ashley.miller5@example.com,55,Female,South,Kochi,Cycling Gloves,PROD-0049,Sports,31.15,1,5,29.59,Net Banking,Returned,2024-08-15,,
ORD-000010,Sandra Davis,CUST-0321,sandra.davis321@example.com,33,Female,North,Jaipur,Fiction Novel,PROD-0037,Books,12.83,4,10,46.19,Credit Card,Cancelled,2024-07-25,,
ORD-000011,Sunita Martinez,CUST-0455,sunita.martinez455@example.com,35,Male,East,Bhubaneswar,Web Development,PROD-0034,Books,44.41,1,20,35.53,Net Banking,Completed,2024-03-16,2,4
ORD-000012,Nancy Thomas,CUST-0054,nancy.thomas54@example.com,21,Other,Central,Indore,USB-C Hub,PROD-0003,Electronics,61.28,1,0,61.28,UPI,Completed,2024-04-05,5,4
ORD-000013,Swati Malhotra,CUST-0343,swati.malhotra343@example.com,63,Female,West,Goa,History of AI,PROD-0038,Books,15.71,2,0,31.42,UPI,Completed,2024-08-25,11,5
ORD-000014,Mason Williams,CUST-0680,mason.williams680@example.com,70,Male,South,Coimbatore,Fiction Novel,PROD-0037,Books,12.83,3,25,28.87,Credit Card,Completed,2024-12-16,3,3
ORD-000015,Sarah Shah,CUST-0492,sarah.shah492@example.com,51,Male,North,Delhi,Gym Bag,PROD-0050,Sports,52.65,2,15,89.5,Credit Card,Completed,2024-08-27,4,
