I Sr No,Cust Name,Cust ID,Product Name,Product ID,Product Price,Quantity,Transaction ID,Transaction Date
1,Betty Brown,CUST-0340,Self-Help Guide,PROD-0036,10.26,3,TXN-000001,2025-09-06
2,Ashley Harris,CUST-0485,Basketball,PROD-0046,39.63,2,TXN-000002,2025-04-08
3,Mary Kulkarni,CUST-0117,Keyboard Mechanical,PROD-0007,97.82,3,TXN-000003,2024-08-15
4,Arjun Verma,CUST-0003,Blender,PROD-0022,46.5,1,TXN-000004,2025-10-10
5,David Harris,CUST-0299,Self-Help Guide,PROD-0036,10.26,2,TXN-000005,2025-12-19
6,Vikram Miller,CUST-0109,USB-C Hub,PROD-0003,61.28,4,TXN-000006,2025-05-19
7,Donald King,CUST-0144,Basketball,PROD-0046,39.63,3,TXN-000007,2025-02-23
8,Sophia Jones,CUST-0110,Casual Shorts,PROD-0017,29.07,2,TXN-000008,2024-07-11
9,Aanya Wright,CUST-0124,Water Bottle,PROD-0026,17.56,1,TXN-000009,2024-07-14
10,Lucas Rodriguez,CUST-0734,Blender,PROD-0022,46.5,1,TXN-000010,2025-02-28
11,Ashley Sharma,CUST-0048,Yoga Mat,PROD-0041,42.7,3,TXN-000011,2025-08-25
12,Nikhil Lewis,CUST-0127,Gym Bag,PROD-0050,52.65,4,TXN-000012,2025-04-13
13,Priya Smith,CUST-0675,History of AI,PROD-0038,15.71,5,TXN-000013,2024-05-17
14,David Walker,CUST-0511,Wireless Mouse,PROD-0001,45.68,2,TXN-000014,2024-02-19
15,Oliver Thomas,CUST-0567,Cutting Board,PROD-0028,11.96,3,TXN-000015,2025-05-09
16,Michael Menon,CUST-0521,Gym Bag,PROD-0050,52.65,4,TXN-000016,2024-06-30
17,Jessica Moore,CUST-0709,History of AI,PROD-0038,15.71,1,TXN-000017,2024-05-11
18,Meena Jones,CUST-0107,Knife Set,PROD-0025,68.52,2,TXN-000018,2025-09-12
19,Aditya Williams,CUST-0330,Machine Learning Guide,PROD-0033,42.63,4,TXN-000019,2025-03-04
20,Aarav Gupta,CUST-0624,Football,PROD-0045,29.05,3,TXN-000020,2024-10-07
21,Priya Martinez,CUST-0408,Blender,PROD-0022,46.5,5,TXN-000021,2025-04-08
22,Mark Desai,CUST-0137,Laptop Stand,PROD-0009,59.55,2,TXN-000022,2025-12-17
23,Sandra Desai,CUST-0767,Machine Learning Guide,PROD-0033,42.63,1,TXN-000023,2025-12-19
24,Charlotte Singh,CUST-0561,Coffee Maker,PROD-0021,62.05,3,TXN-000024,2025-07-20
25,Riya Patel,CUST-0648,Running Shoes,PROD-0014,41.04,1,TXN-000025,2025-10-01
26,Pooja Bhat,CUST-0732,Cap,PROD-0019,12.46,2,TXN-000026,2025-11-19
27,Patricia Bhat,CUST-0136,Basketball,PROD-0046,39.63,2,TXN-000027,2024-07-01
28,Lucas Smith,CUST-0516,Business Strategy,PROD-0035,33.11,2,TXN-000028,2024-11-26
29,Mark Brown,CUST-0728,Monitor Stand,PROD-0008,53.18,3,TXN-000029,2025-07-29
30,Sarah Shah,CUST-0492,History of AI,PROD-0038,15.71,2,TXN-000030,2025-11-14
31,Mark Brown,CUST-0728,Storage Containers,PROD-0027,35.05,2,TXN-000031,2025-06-30
32,Mason Mehta,CUST-0293,Cutting Board,PROD-0028,11.96,3,TXN-000032,2025-06-19
33,Sophia Jones,CUST-0110,Bluetooth Headphones,PROD-0002,92.28,1,TXN-000033,2024-02-24
34,Nisha Kulkarni,CUST-0687,Portable Charger,PROD-0004,42.05,1,TXN-000034,2024-06-13
35,Richard Wright,CUST-0294,Jump Rope,PROD-0044,18.67,1,TXN-000035,2024-03-04
36,Meena Martin,CUST-0708,Cap,PROD-0019,12.46,1,TXN-000036,2025-07-08
37,Sandra White,CUST-0034,Toaster,PROD-0023,31.12,3,TXN-000037,2024-04-14
38,Pooja Chopra,CUST-0631,Jump Rope,PROD-0044,18.67,3,TXN-000038,2024-08-17
39,James Walker,CUST-0761,Dumbbells (Pair),PROD-0042,77.78,2,TXN-000039,2024-08-31
40,Thomas Johnson,CUST-0524,Football,PROD-0045,29.05,1,TXN-000040,2025-11-11
41,Matthew Anderson,CUST-0049,Knife Set,PROD-0025,68.52,1,TXN-000041,2025-12-02
42,Sandra Davis,CUST-0321,Self-Help Guide,PROD-0036,10.26,1,TXN-000042,2024-09-14
43,Swati Verma,CUST-0208,Travel Guide,PROD-0040,22.38,4,TXN-000043,2025-03-29
44,Oliver Kulkarni,CUST-0231,Yoga Mat,PROD-0041,42.7,3,TXN-000044,2025-10-25
45,Vikram Johnson,CUST-0377,Cycling Gloves,PROD-0049,31.15,2,TXN-000045,2025-09-09
46,Betty Thompson,CUST-0202,Gym Bag,PROD-0050,52.65,3,TXN-000046,2024-07-17
47,Rohit Rao,CUST-0302,Dish Rack,PROD-0029,28.32,1,TXN-000047,2025-11-30
48,Sunita Bhat,CUST-0077,Denim Jeans,PROD-0012,82.97,5,TXN-000048,2025-06-10
49,Linda Mehta,CUST-0123,Knife Set,PROD-0025,68.52,1,TXN-000049,2024-10-12
50,Sunita Malhotra,CUST-0570,Casual Shorts,PROD-0017,29.07,1,TXN-000050,2025-08-21
51,Lucas Patel,CUST-0262,Wireless Mouse,PROD-0001,45.68,1,TXN-000051,2025-12-27
52,Lucas Anderson,CUST-0159,USB-C Hub,PROD-0003,61.28,1,TXN-000052,2024-11-26
53,Divya Patel,CUST-0612,Portable Charger,PROD-0004,42.05,3,TXN-000053,2025-10-02
54,Pooja Chopra,CUST-0631,Resistance Bands,PROD-0043,22.74,1,TXN-000054,2025-08-09
55,Matthew Mehta,CUST-0564,Toaster,PROD-0023,31.12,1,TXN-000055,2025-12-25
56,Deepak Jackson,CUST-0326,Web Development,PROD-0034,44.41,1,TXN-000056,2024-07-07
57,Donald White,CUST-0534,Smartwatch,PROD-0005,158.2,3,TXN-000057,2024-06-12
58,Ashley Hernandez,CUST-0426,Business Strategy,PROD-0035,33.11,2,TXN-000058,2024-04-04
59,Swati Malhotra,CUST-0358,Formal Shirt,PROD-0015,57.36,4,TXN-000059,2025-11-10
60,Betty Brown,CUST-0340,Blender,PROD-0022,46.5,1,TXN-000060,2024-08-11
61,Lucas Hernandez,CUST-0771,Travel Guide,PROD-0040,22.38,2,TXN-000061,2025-07-28
62,Lucas Hernandez,CUST-0771,Dumbbells (Pair),PROD-0042,77.78,1,TXN-000062,2025-11-15
63,Karan Robinson,CUST-0355,Dish Rack,PROD-0029,28.32,1,TXN-000063,2025-10-19
64,Sai Garcia,CUST-0629,Travel Guide,PROD-0040,22.38,1,TXN-000064,2024-02-10
65,Oliver Taylor,CUST-0699,Coffee Maker,PROD-0021,62.05,1,TXN-000065,2024-04-26
66,James Mehta,CUST-0396,Casual Shorts,PROD-0017,29.07,2,TXN-000066,2024-10-16
67,Patricia Reddy,CUST-0026,Web Development,PROD-0034,44.41,3,TXN-000067,2025-01-18
68,Mary Jones,CUST-0527,Machine Learning Guide,PROD-0033,42.63,2,TXN-000068,2024-02-14
69,Patricia Wright,CUST-0304,Dumbbells (Pair),PROD-0042,77.78,1,TXN-000069,2025-06-10
70,Sai Walker,CUST-0085,Keyboard Mechanical,PROD-0007,97.82,1,TXN-000070,2025-07-04
71,Meena Garcia,CUST-0547,Wireless Mouse,PROD-0001,45.68,2,TXN-000071,2024-08-03
72,Nisha Kulkarni,CUST-0687,Yoga Mat,PROD-0041,42.7,3,TXN-000072,2025-12-02
73,Lisa Malhotra,CUST-0435,Keyboard Mechanical,PROD-0007,97.82,1,TXN-000073,2025-12-20
74,Pooja Johnson,CUST-0760,Gym Bag,PROD-0050,52.65,2,TXN-000074,2024-03-14
75,Joseph Garcia,CUST-0765,Jump Rope,PROD-0044,18.67,1,TXN-000075,2025-04-15
76,Robert Williams,CUST-0735,Blender,PROD-0022,46.5,1,TXN-000076,2024-03-16
77,Deepak Garcia,CUST-0056,Denim Jeans,PROD-0012,82.97,3,TXN-000077,2025-07-25
78,Sarah Nair,CUST-0073,Fiction Novel,PROD-0037,12.83,3,TXN-000078,2024-09-21
79,Suresh Lee,CUST-0418,Knife Set,PROD-0025,68.52,2,TXN-000079,2025-02-18
80,Margaret Rodriguez,CUST-0444,Coffee Maker,PROD-0021,62.05,1,TXN-000080,2025-11-20
81,Aanya Jackson,CUST-0122,Business Strategy,PROD-0035,33.11,1,TXN-000081,2025-09-25
82,Nikhil Clark,CUST-0065,Cycling Gloves,PROD-0049,31.15,3,TXN-000082,2024-02-16
83,Neha Iyer,CUST-0718,Smartwatch,PROD-0005,158.2,1,TXN-000083,2025-05-29
84,Vikram Miller,CUST-0109,Cap,PROD-0019,12.46,3,TXN-000084,2024-11-04
85,Betty Jackson,CUST-0622,Webcam HD,PROD-0006,72.22,1,TXN-000085,2025-03-24
86,Mason Reddy,CUST-0391,Water Bottle,PROD-0026,17.56,3,TXN-000086,2024-02-01
87,Reyansh King,CUST-0486,Cotton T-Shirt,PROD-0011,30.65,2,TXN-000087,2024-05-19
88,Joseph Garcia,CUST-0765,Water Bottle,PROD-0026,17.56,3,TXN-000088,2025-07-12
89,Myra Thomas,CUST-0303,Yoga Mat,PROD-0041,42.7,1,TXN-000089,2025-11-24
90,Mark King,CUST-0747,Dumbbells (Pair),PROD-0042,77.78,1,TXN-000090,2024-01-12
91,Oliver Thomas,CUST-0567,Self-Help Guide,PROD-0036,10.26,1,TXN-000091,2024-02-12
92,Aarav King,CUST-0006,Fiction Novel,PROD-0037,12.83,2,TXN-000092,2025-07-04
93,Charlotte Singh,CUST-0561,Webcam HD,PROD-0006,72.22,1,TXN-000093,2024-12-18
94,William Martin,CUST-0217,Storage Containers,PROD-0027,35.05,4,TXN-000094,2025-06-08
95,Myra Desai,CUST-0146,Cotton T-Shirt,PROD-0011,30.65,1,TXN-000095,2025-09-23
96,Susan Kumar,CUST-0259,Hoodie,PROD-0013,50.64,1,TXN-000096,2025-11-18
97,Charles Taylor,CUST-0581,Portable Charger,PROD-0004,42.05,4,TXN-000097,2025-07-16
98,Emma Kulkarni,CUST-0473,Dumbbells (Pair),PROD-0042,77.78,2,TXN-000098,2024-10-24
99,Sara Young,CUST-0688,Smartwatch,PROD-0005,158.2,1,TXN-000099,2024-07-21
100,Linda Martin,CUST-0744,History of AI,PROD-0038,15.71,2,TXN-000100,2024-12-04
101,Sarah Thomas,CUST-0366,Laptop Stand,PROD-0009,59.55,2,TXN-000101,2024-08-28
102,Rahul Allen,CUST-0103,Cap,PROD-0019,12.46,2,TXN-000102,2024-07-17
103,Deepak Jackson,CUST-0326,Data Science Handbook,PROD-0032,42.44,2,TXN-000103,2025-09-23
104,Riya Wright,CUST-0676,Scarf,PROD-0020,33.28,2,TXN-000104,2024-06-05
105,Diya Garcia,CUST-0580,Fiction Novel,PROD-0037,12.83,1,TXN-000105,2024-11-19
106,Kavita King,CUST-0439,Cotton T-Shirt,PROD-0011,30.65,1,TXN-000106,2024-09-09
107,Deepak Brown,CUST-0227,Basketball,PROD-0046,39.63,3,TXN-000107,2025-03-22
108,Neha Rodriguez,CUST-0284,Non-Stick Pan,PROD-0024,32.73,1,TXN-000108,2024-12-05
109,Sarah Shah,CUST-0492,Tea Kettle,PROD-0030,40.05,2,TXN-000109,2024-11-08
110,Sai Rao,CUST-0499,Self-Help Guide,PROD-0036,10.26,1,TXN-000110,2025-10-23
111,Betty Jackson,CUST-0622,Webcam HD,PROD-0006,72.22,3,TXN-000111,2024-05-23
112,Nisha Clark,CUST-0552,Hoodie,PROD-0013,50.64,1,TXN-000112,2025-10-03
113,Meena Rao,CUST-0079,Tennis Racket,PROD-0047,61.92,1,TXN-000113,2024-01-20
114,Sarah Bhat,CUST-0520,Yoga Mat,PROD-0041,42.7,1,TXN-000114,2025-08-18
115,Patricia Reddy,CUST-0593,Water Bottle,PROD-0026,17.56,3,TXN-000115,2024-08-05
116,Meena Thompson,CUST-0038,Self-Help Guide,PROD-0036,10.26,1,TXN-000116,2025-07-06
117,Jennifer Mehta,CUST-0484,Dumbbells (Pair),PROD-0042,77.78,3,TXN-000117,2025-01-09
118,Sandra Lee,CUST-0402,Formal Shirt,PROD-0015,57.36,4,TXN-000118,2025-08-26
119,Suresh Lewis,CUST-0751,Cap,PROD-0019,12.46,1,TXN-000119,2025-05-28
120,William Johnson,CUST-0523,Webcam HD,PROD-0006,72.22,1,TXN-000120,2025-05-29
121,Krishna Gupta,CUST-0011,Resistance Bands,PROD-0043,22.74,1,TXN-000121,2025-09-20
122,Myra Verma,CUST-0701,Cotton T-Shirt,PROD-0011,30.65,3,TXN-000122,2024-05-23
123,Deepak Kulkarni,CUST-0457,Cotton T-Shirt,PROD-0011,30.65,1,TXN-000123,2025-08-02
124,Riya Wright,CUST-0676,External SSD 1TB,PROD-0010,77.83,3,TXN-000124,2025-05-10
125,Robert Hernandez,CUST-0368,USB-C Hub,PROD-0003,61.28,1,TXN-000125,2025-05-14
126,Sara Rodriguez,CUST-0238,Smartwatch,PROD-0005,158.2,1,TXN-000126,2024-08-27
127,Reyansh Lewis,CUST-0044,Resistance Bands,PROD-0043,22.74,1,TXN-000127,2025-01-04
128,Noah Malhotra,CUST-0398,Python Programming,PROD-0031,22.63,4,TXN-000128,2024-02-17
129,Isha Young,CUST-0041,Dumbbells (Pair),PROD-0042,77.78,1,TXN-000129,2025-12-21
130,Donald White,CUST-0534,Yoga Mat,PROD-0041,42.7,3,TXN-000130,2024-09-26
131,Patricia Reddy,CUST-0593,Business Strategy,PROD-0035,33.11,2,TXN-000131,2025-01-20
132,Jennifer Thompson,CUST-0670,Knife Set,PROD-0025,68.52,1,TXN-000132,2025-10-31
133,Divya Kumar,CUST-0080,Web Development,PROD-0034,44.41,1,TXN-000133,2024-08-16
134,Oliver Verma,CUST-0529,Water Bottle,PROD-0026,17.56,1,TXN-000134,2024-12-19
135,Sai Rao,CUST-0499,Python Programming,PROD-0031,22.63,4,TXN-000135,2024-01-07
136,Karen Martin,CUST-0514,Laptop Stand,PROD-0009,59.55,2,TXN-000136,2024-08-23
137,Meena Rao,CUST-0079,Machine Learning Guide,PROD-0033,42.63,2,TXN-000137,2024-08-04
138,Charlotte Rao,CUST-0154,Denim Jeans,PROD-0012,82.97,1,TXN-000138,2025-09-08
139,Robert Williams,CUST-0735,Monitor Stand,PROD-0008,53.18,2,TXN-000139,2025-02-28
140,Thomas Jones,CUST-0339,Tennis Racket,PROD-0047,61.92,1,TXN-000140,2025-11-22
141,Divya Moore,CUST-0491,Python Programming,PROD-0031,22.63,1,TXN-000141,2024-06-14
142,Aditya Jones,CUST-0663,Storage Containers,PROD-0027,35.05,1,TXN-000142,2024-02-14
143,Sarah Shah,CUST-0131,Fiction Novel,PROD-0037,12.83,2,TXN-000143,2024-05-17
144,Donald Williams,CUST-0645,Machine Learning Guide,PROD-0033,42.63,1,TXN-000144,2025-08-09
145,Aanya Kumar,CUST-0151,Portable Charger,PROD-0004,42.05,1,TXN-000145,2024-07-03
146,Krishna Miller,CUST-0530,Water Bottle,PROD-0026,17.56,2,TXN-000146,2025-07-31
147,Susan Brown,CUST-0653,Bluetooth Headphones,PROD-0002,92.28,4,TXN-000147,2025-11-08
148,Patricia Walker,CUST-0291,Webcam HD,PROD-0006,72.22,1,TXN-000148,2025-09-13
149,Patricia Menon,CUST-0483,Python Programming,PROD-0031,22.63,1,TXN-000149,2025-02-24
150,Ayaan Malhotra,CUST-0616,External SSD 1TB,PROD-0010,77.83,3,TXN-000150,2024-07-05
151,Ananya Thompson,CUST-0639,Resistance Bands,PROD-0043,22.74,2,TXN-000151,2024-06-20
152,Kavita Martinez,CUST-0742,Jump Rope,PROD-0044,18.67,1,TXN-000152,2025-04-09
153,Ananya Lee,CUST-0611,History of AI,PROD-0038,15.71,1,TXN-000153,2025-01-22
154,Neha White,CUST-0395,Laptop Stand,PROD-0009,59.55,1,TXN-000154,2024-07-26
155,Susan King,CUST-0536,Machine Learning Guide,PROD-0033,42.63,2,TXN-000155,2024-06-02
156,Ishaan Taylor,CUST-0621,Keyboard Mechanical,PROD-0007,97.82,1,TXN-000156,2025-09-21
157,Diya Davis,CUST-0615,USB-C Hub,PROD-0003,61.28,4,TXN-000157,2025-06-28
158,Lucas Smith,CUST-0516,Cycling Gloves,PROD-0049,31.15,1,TXN-000158,2025-05-08
159,Riya Wright,CUST-0676,Laptop Stand,PROD-0009,59.55,4,TXN-000159,2025-07-06
160,Sara Lewis,CUST-0002,Gym Bag,PROD-0050,52.65,2,TXN-000160,2025-03-17
161,Jennifer Mehta,CUST-0535,Storage Containers,PROD-0027,35.05,1,TXN-000161,2024-02-14
162,Diya Jones,CUST-0715,Web Development,PROD-0034,44.41,2,TXN-000162,2025-05-08
163,Charles Chopra,CUST-0788,Knife Set,PROD-0025,68.52,1,TXN-000163,2025-12-14
164,Anjali Young,CUST-0590,Keyboard Mechanical,PROD-0007,97.82,2,TXN-000164,2024-09-17
165,Mason Anderson,CUST-0489,Gym Bag,PROD-0050,52.65,1,TXN-000165,2024-03-26
166,Patricia Walker,CUST-0291,Cookbook,PROD-0039,22.32,4,TXN-000166,2025-02-22
167,Joseph Taylor,CUST-0264,Hoodie,PROD-0013,50.64,1,TXN-000167,2024-01-08
168,Isabella Rao,CUST-0592,Web Development,PROD-0034,44.41,1,TXN-000168,2024-01-08
169,Kavita Thompson,CUST-0385,Dumbbells (Pair),PROD-0042,77.78,1,TXN-000169,2024-11-19
170,John Walker,CUST-0419,Non-Stick Pan,PROD-0024,32.73,1,TXN-000170,2025-03-12
171,Manoj Moore,CUST-0668,History of AI,PROD-0038,15.71,1,TXN-000171,2025-07-02
172,Michael Robinson,CUST-0434,Fiction Novel,PROD-0037,12.83,1,TXN-000172,2024-10-09
173,Oliver Young,CUST-0697,Water Bottle,PROD-0026,17.56,3,TXN-000173,2025-02-27
174,Amit Wright,CUST-0566,Self-Help Guide,PROD-0036,10.26,2,TXN-000174,2025-01-14
175,Amit Lopez,CUST-0573,Self-Help Guide,PROD-0036,10.26,2,TXN-000175,2024-11-10
176,Isabella Rao,CUST-0592,Toaster,PROD-0023,31.12,3,TXN-000176,2025-02-11
177,Sneha Lewis,CUST-0754,Laptop Stand,PROD-0009,59.55,4,TXN-000177,2025-11-06
178,Aanya Jackson,CUST-0122,Swimming Goggles,PROD-0048,16.81,1,TXN-000178,2025-12-17
179,Betty Rodriguez,CUST-0166,Keyboard Mechanical,PROD-0007,97.82,1,TXN-000179,2025-02-14
180,Rahul Verma,CUST-0347,Self-Help Guide,PROD-0036,10.26,2,TXN-000180,2025-12-01
181,Patricia Malhotra,CUST-0724,Portable Charger,PROD-0004,42.05,1,TXN-000181,2025-10-13
182,Aarav King,CUST-0006,Webcam HD,PROD-0006,72.22,3,TXN-000182,2025-04-27
183,Diya Davis,CUST-0615,Cutting Board,PROD-0028,11.96,1,TXN-000183,2024-09-26
184,Jennifer Singh,CUST-0228,Non-Stick Pan,PROD-0024,32.73,1,TXN-000184,2024-02-08
185,Kavita Martinez,CUST-0742,Knife Set,PROD-0025,68.52,4,TXN-000185,2025-02-14
186,Sai Garcia,CUST-0629,Dumbbells (Pair),PROD-0042,77.78,2,TXN-000186,2025-12-29
187,Divya Patel,CUST-0612,Portable Charger,PROD-0004,42.05,4,TXN-000187,2024-06-28
188,Reyansh Mehta,CUST-0656,Data Science Handbook,PROD-0032,42.44,2,TXN-000188,2024-07-25
189,Mia Rao,CUST-0673,Web Development,PROD-0034,44.41,1,TXN-000189,2024-02-04
190,Krishna Malhotra,CUST-0614,Machine Learning Guide,PROD-0033,42.63,2,TXN-000190,2024-08-25
191,Mary Patel,CUST-0630,Cotton T-Shirt,PROD-0011,30.65,2,TXN-000191,2025-01-03
192,Aanya Harris,CUST-0245,Dumbbells (Pair),PROD-0042,77.78,1,TXN-000192,2024-06-10
193,Rohit Miller,CUST-0089,Sports Socks (3-pack),PROD-0018,13.94,3,TXN-000193,2024-12-27
194,Amit Lee,CUST-0686,Water Bottle,PROD-0026,17.56,2,TXN-000194,2024-07-24
195,Deepak Menon,CUST-0531,Wireless Mouse,PROD-0001,45.68,3,TXN-000195,2024-03-11
196,Amit Clark,CUST-0093,Self-Help Guide,PROD-0036,10.26,1,TXN-000196,2025-07-26
197,Amit Rodriguez,CUST-0597,Toaster,PROD-0023,31.12,1,TXN-000197,2024-10-10
198,John Wright,CUST-0232,Cookbook,PROD-0039,22.32,5,TXN-000198,2025-04-10
199,Swati Gupta,CUST-0414,Fiction Novel,PROD-0037,12.83,1,TXN-000199,2024-06-28
200,Isabella Pillai,CUST-0417,Machine Learning Guide,PROD-0033,42.63,1,TXN-000200,2024-03-15
201,Lucas Smith,CUST-0516,Cap,PROD-0019,12.46,1,TXN-000201,2024-04-29
202,William Smith,CUST-0526,Casual Shorts,PROD-0017,29.07,4,TXN-000202,2025-08-11
203,Manoj Verma,CUST-0257,Football,PROD-0045,29.05,2,TXN-000203,2025-01-21
204,Ayaan Bhat,CUST-0577,Python Programming,PROD-0031,22.63,3,TXN-000204,2024-12-13
205,Aanya Nair,CUST-0795,Tea Kettle,PROD-0030,40.05,2,TXN-000205,2025-08-23
206,Neha Brown,CUST-0029,Python Programming,PROD-0031,22.63,1,TXN-000206,2024-03-10
207,Patricia Martin,CUST-0392,Yoga Mat,PROD-0041,42.7,3,TXN-000207,2024-08-13
208,Oliver Patel,CUST-0694,Football,PROD-0045,29.05,1,TXN-000208,2024-11-19
209,Arjun Shah,CUST-0423,Toaster,PROD-0023,31.12,2,TXN-000209,2024-01-10
210,Neha Iyer,CUST-0718,Casual Shorts,PROD-0017,29.07,1,TXN-000210,2024-04-05
211,Nisha Lopez,CUST-0409,Jump Rope,PROD-0044,18.67,3,TXN-000211,2024-12-16
212,Daniel Rao,CUST-0078,Self-Help Guide,PROD-0036,10.26,4,TXN-000212,2025-05-02
213,Aadhya Singh,CUST-0322,Toaster,PROD-0023,31.12,1,TXN-000213,2025-08-10
